Color,X,Y
red,4.301075268817215,37.33766233766235
red,4.301075268817215,38.96103896103898
red,4.301075268817215,94.15584415584419
red,7.5268817204301115,129.8701298701299
red,9.677419354838719,139.61038961038966
red,9.677419354838719,157.4675324675325
red,9.677419354838719,172.07792207792212
red,10.752688172043008,193.18181818181822
red,16.129032258064512,225.64935064935068
red,18.27956989247312,264.6103896103897
red,22.580645161290306,303.57142857142867
red,30.107526881720418,331.1688311688313
red,40.860215053763426,358.7662337662339
red,56.98924731182794,386.3636363636364
red,76.34408602150538,423.7012987012987
red,102.15053763440861,477.27272727272737
red,125.8064516129032,527.5974025974026
red,137.6344086021505,563.3116883116884
red,150.53763440860214,607.1428571428572
red,160.21505376344086,642.8571428571429
red,170.96774193548387,667.2077922077923
red,187.09677419354838,689.935064935065
red,211.82795698924727,714.2857142857143
red,246.23655913978493,743.5064935064936
red,292.4731182795699,772.7272727272729
red,341.9354838709677,797.0779220779222
red,382.79569892473114,819.8051948051949
red,406.45161290322585,834.4155844155845
red,429.0322580645161,850.6493506493507
red,452.6881720430107,862.0129870129871
red,474.1935483870968,863.6363636363637
red,510.752688172043,858.7662337662339
red,543.010752688172,849.0259740259742
red,576.3440860215054,829.5454545454546
red,610.752688172043,805.1948051948053
red,638.7096774193549,780.8441558441559
red,681.7204301075269,745.1298701298703
red,712.9032258064516,719.1558441558442
red,729.0322580645161,696.4285714285716
red,749.4623655913979,654.2207792207793
red,767.741935483871,610.3896103896104
red,796.7741935483871,548.7012987012988
red,816.1290322580645,500.0
red,830.1075268817204,459.4155844155845
red,846.236559139785,420.4545454545455
red,861.2903225806451,379.87012987012986
red,882.7956989247311,316.5584415584416
red,898.9247311827958,258.1168831168832
red,917.2043010752689,193.18181818181822
red,932.258064516129,139.61038961038966
red,953.763440860215,86.03896103896108
red,972.0430107526881,53.571428571428584
red,973.1182795698924,53.571428571428584
red,978.494623655914,55.19480519480521
red,984.9462365591398,55.19480519480521
red,990.3225806451612,51.94805194805198
